date,open,high,low,close,volume,settle,change,percent
2006-12-18 16:00:00,135.78827,137.44315,135.65366,137.399,0.0,0.0,0.0,0.0
2006-12-19 16:00:00,137.42107,137.79617,136.5164,136.86723,0.0,0.0,-2.4100342,-0.0038702972
2006-12-20 16:00:00,136.91357,137.31075,136.20528,136.47227,0.0,0.0,-1.789978,-0.0028857116
2006-12-21 16:00:00,136.45021,137.06804,136.27368,137.06804,0.0,0.0,2.7000122,0.00436542
2006-12-24 16:00:00,136.80325,136.91357,136.69293,136.80325,0.0,0.0,-1.2000122,-0.0019317647
2006-12-25 16:00:00,136.80325,138.89943,136.75691,137.77412,0.0,0.0,4.4000244,0.0070968135
2006-12-26 16:00:00,137.75204,138.85309,137.0239,138.12715,0.0,0.0,1.5999756,0.0025624207
2006-12-27 16:00:00,138.4802,140.20128,138.12715,139.95854,0.0,0.0,8.299988,0.013258766
2006-12-28 16:00:00,139.98062,140.39986,139.40692,140.37779,0.0,0.0,1.9000244,0.0029954666
2007-01-01 16:00:00,140.51018,141.4369,140.28952,141.28246,0.0,0.0,4.0999756,0.0064444756
2007-01-02 16:00:00,141.23831,142.3195,137.86017,138.414,0.0,0.0,-13.0,-0.020302983
2007-01-03 16:00:00,138.45813,139.09802,136.93564,137.26662,0.0,0.0,-5.200012,-0.008289514
2007-01-04 16:00:00,137.24455,138.17128,132.72122,133.7362,0.0,0.0,-16.0,-0.025719339
2007-01-07 16:00:00,133.78033,134.64088,133.18459,134.46436,0.0,0.0,3.3000488,0.005444727
2007-01-08 16:00:00,134.50848,135.89859,133.6678,135.36902,0.0,0.0,4.0999756,0.0067278887
2007-01-09 16:00:00,135.34697,135.41316,133.60382,134.86153,0.0,0.0,-2.2999878,-0.0037489613
2007-01-10 16:00:00,134.83946,135.89859,134.3099,134.86153,0.0,0.0,0.0,0.0
2007-01-11 16:00:00,134.8174,138.51329,134.50848,138.06096,754.0,0.0,14.5,0.023723822
2007-01-14 16:00:00,138.06096,138.5464,137.68585,138.17128,702.0,0.0,0.5,0.000799105
2007-01-15 16:00:00,138.12715,138.56845,137.33282,137.92856,0.0,0.0,-1.1000366,-0.0017566857
2007-01-16 16:00:00,137.90651,139.8703,136.78119,139.51505,0.0,0.0,7.1900024,0.011502164
2007-01-17 16:00:00,139.429,140.44398,138.19113,138.32574,0.0,0.0,-5.3899536,-0.008524496
2007-01-18 16:00:00,138.32574,140.39764,138.23747,140.06888,0.0,0.0,7.8999634,0.012601632
2007-01-21 16:00:00,140.16817,141.15007,139.38486,139.71584,0.0,0.0,-1.5999756,-0.0025204404
2007-01-22 16:00:00,139.64964,142.91527,139.64964,142.45189,0.0,0.0,12.399963,0.019583011
2007-01-23 16:00:00,142.45189,143.18005,140.88528,142.93512,0.0,0.0,2.1900024,0.0033921972
2007-01-24 16:00:00,142.8932,144.45982,142.29745,142.47397,0.0,0.0,-2.0899658,-0.0032263016
2007-01-25 16:00:00,142.45189,143.00352,141.34865,142.49603,0.0,0.0,0.099975586,0.00015483287
2007-01-28 16:00:00,142.49603,142.98146,141.37071,141.8782,0.0,0.0,-2.7999878,-0.004335689
2007-01-29 16:00:00,141.8782,142.84908,141.39278,142.56223,0.0,0.0,3.0999756,0.004821113
2007-01-30 16:00:00,142.56223,144.50395,141.6355,144.01852,0.0,0.0,6.6000366,0.010215194
2007-01-31 16:00:00,143.99644,145.96024,143.79787,144.96732,0.0,0.0,4.299988,0.0065880003
2007-02-01 16:00:00,144.90112,145.58513,141.83408,142.87114,0.0,0.0,-9.5,-0.014459665
2007-02-04 16:00:00,142.87114,143.88612,142.5181,143.00352,0.0,0.0,0.5999756,0.0009266032
2007-02-05 16:00:00,142.98146,145.2983,142.9594,144.15091,0.0,0.0,5.200012,0.0080234725
2007-02-06 16:00:00,144.12885,144.87904,143.4007,143.7758,0.0,0.0,-1.7000122,-0.0026021923
2007-02-07 16:00:00,143.79787,145.87198,142.8932,145.541,0.0,0.0,8.0,0.012277471
2007-02-08 16:00:00,145.45274,147.57098,144.92319,147.06349,0.0,0.0,6.9000244,0.0104609225
2007-02-11 16:00:00,147.3062,147.4386,145.541,145.78372,0.0,0.0,-5.799988,-0.008702157
2007-02-12 16:00:00,145.89404,147.68132,145.7396,146.51187,0.0,0.0,3.2999878,0.004994684
2007-02-13 16:00:00,146.57806,148.24397,146.37949,147.50479,0.0,0.0,4.5,0.0067771086
2007-02-14 16:00:00,147.50479,147.96815,146.1147,147.68132,0.0,0.0,0.7999878,0.0011966908
2007-02-15 16:00:00,147.72545,147.73648,146.19193,147.61513,0.0,0.0,-0.2999878,-0.00044821127
2007-02-18 16:00:00,147.61513,148.54185,147.28415,147.90196,0.0,0.0,1.2999878,0.0019431806
2007-02-19 16:00:00,147.99023,148.255,144.61427,145.07764,0.0,0.0,-12.799988,-0.019095909
2007-02-20 16:00:00,145.05559,150.5939,144.94525,149.73335,0.0,0.0,21.099976,0.03209122
2007-02-21 16:00:00,149.7113,150.26292,148.96109,149.40239,0.0,0.0,-1.5,-0.0022104334
2007-02-22 16:00:00,149.44652,151.87367,148.43153,150.70422,0.0,0.0,5.9000244,0.008713668
2007-02-25 16:00:00,150.32912,152.18259,150.32912,151.36618,0.0,0.0,3.0,0.0043923864
2007-02-26 16:00:00,151.38824,151.96193,145.40862,146.37949,0.0,0.0,-22.599976,-0.03294457
2007-02-27 16:00:00,146.44568,149.46858,145.87198,147.68132,0.0,0.0,5.8999634,0.008893523
2007-02-28 16:00:00,147.72545,149.44652,145.89404,146.4898,0.0,0.0,-5.3999634,-0.008068076
2007-03-01 16:00:00,146.46774,146.84285,141.03973,141.74582,0.0,0.0,-21.5,-0.032384396
2007-03-04 16:00:00,141.9444,142.29745,139.71584,140.37779,0.0,0.0,-6.200012,-0.009651327
2007-03-05 16:00:00,140.35571,142.8932,139.51724,142.67255,0.0,0.0,10.399963,0.016347002
2007-03-06 16:00:00,142.65048,143.75374,141.78995,143.24625,0.0,0.0,2.6000366,0.00402109
2007-03-07 16:00:00,143.22417,144.68047,142.78287,143.79787,0.0,0.0,2.5,0.0038508934
2007-03-08 16:00:00,143.86406,145.18797,143.09178,143.7074,0.0,0.0,-0.41003418,-0.00062917627
2007-03-11 16:00:00,143.31244,144.28331,142.40778,143.55515,0.0,0.0,-0.69000244,-0.0010594396
2007-03-12 16:00:00,143.53308,143.95233,141.59137,141.8782,0.0,0.0,-7.5999756,-0.011681488
2007-03-13 16:00:00,141.83408,142.49603,140.42192,142.01059,0.0,0.0,0.5999756,0.000933088
2007-03-14 16:00:00,142.05473,143.44482,141.8782,142.56223,0.0,0.0,2.5,0.0038844005
2007-03-15 16:00:00,142.58429,144.6584,142.47397,144.06265,0.0,0.0,6.800049,0.010524763
2007-03-18 16:00:00,144.37155,144.80183,143.81772,144.2171,0.0,0.0,0.6999512,0.0010720649
2007-03-19 16:00:00,144.23917,145.87198,143.95233,145.14383,0.0,0.0,4.200012,0.0064259674
2007-03-20 16:00:00,145.18797,146.64426,144.90112,146.44568,0.0,0.0,5.9000244,0.008969329
2007-03-21 16:00:00,146.57806,147.10762,146.02643,146.3574,0.0,0.0,-0.4000244,-0.00060271873
2007-03-22 16:00:00,146.37949,146.71046,144.50395,144.94525,0.0,0.0,-6.3999634,-0.009648671
2007-03-25 16:00:00,144.94525,146.75458,144.92319,146.40155,0.0,0.0,6.5999756,0.010047154
2007-03-26 16:00:00,146.4236,146.8649,145.9161,146.6222,0.0,0.0,1.0,0.001507159
2007-03-27 16:00:00,146.60013,147.72545,146.3574,146.90904,0.0,0.0,1.2999878,0.0019563397
2007-03-28 16:00:00,146.9973,146.9973,144.48189,145.96024,0.0,0.0,-4.299988,-0.006458378
2007-03-29 16:00:00,145.9161,147.3724,145.71753,146.3574,0.0,0.0,1.7999878,0.00272107
2007-04-01 16:00:00,146.6222,147.01936,144.76872,146.51187,0.0,0.0,0.7000122,0.0010553478
2007-04-02 16:00:00,146.57806,147.28415,146.02643,146.51187,0.0,0.0,0.0,0.0
2007-04-03 16:00:00,146.64426,149.11554,146.31328,148.54185,0.0,0.0,9.200012,0.01385544
2007-04-04 16:00:00,148.74043,149.02728,148.12262,148.76251,0.0,0.0,1.0,0.0014854426
