date,open,high,low,close,volume,settle,change,percent
2006-12-18 16:00:00,615.4,622.9,614.79,622.7,0.0,0.0,0.0,0.0
2006-12-19 16:00:00,622.8,624.5,618.7,620.29,0.0,0.0,-2.4100342,-0.0038702972
2006-12-20 16:00:00,620.5,622.3,617.29,618.5,0.0,0.0,-1.789978,-0.0028857116
2006-12-21 16:00:00,618.4,621.2,617.6,621.2,0.0,0.0,2.7000122,0.00436542
2006-12-24 16:00:00,620.0,620.5,619.5,620.0,0.0,0.0,-1.2000122,-0.0019317647
2006-12-25 16:00:00,620.0,629.5,619.79,624.4,0.0,0.0,4.4000244,0.0070968135
2006-12-26 16:00:00,624.3,629.29,621.0,626.0,0.0,0.0,1.5999756,0.0025624207
2006-12-27 16:00:00,627.6,635.4,626.0,634.3,0.0,0.0,8.299988,0.013258766
2006-12-28 16:00:00,634.4,636.3,631.8,636.2,0.0,0.0,1.9000244,0.0029954666
2007-01-01 16:00:00,636.8,641.0,635.8,640.3,0.0,0.0,4.0999756,0.0064444756
2007-01-02 16:00:00,640.1,645.0,624.79,627.3,0.0,0.0,-13.0,-0.020302983
2007-01-03 16:00:00,627.5,630.4,620.6,622.1,0.0,0.0,-5.200012,-0.008289514
2007-01-04 16:00:00,622.0,626.2,601.5,606.1,0.0,0.0,-16.0,-0.025719339
2007-01-07 16:00:00,606.3,610.2,603.6,609.4,0.0,0.0,3.3000488,0.005444727
2007-01-08 16:00:00,609.6,615.9,605.79,613.5,0.0,0.0,4.0999756,0.0067278887
2007-01-09 16:00:00,613.4,613.7,605.5,611.2,0.0,0.0,-2.2999878,-0.0037489613
2007-01-10 16:00:00,611.1,615.9,608.7,611.2,0.0,0.0,0.0,0.0
2007-01-11 16:00:00,611.0,627.75,609.6,625.7,754.0,0.0,14.5,0.023723822
2007-01-14 16:00:00,625.7,627.9,624.0,626.2,702.0,0.0,0.5,0.000799105
2007-01-15 16:00:00,626.0,628.0,622.4,625.1,0.0,0.0,-1.1000366,-0.0017566857
2007-01-16 16:00:00,625.0,633.9,619.9,632.29,0.0,0.0,7.1900024,0.011502164
2007-01-17 16:00:00,631.9,636.5,626.29,626.9,0.0,0.0,-5.3899536,-0.008524496
2007-01-18 16:00:00,626.9,636.29,626.5,634.8,0.0,0.0,7.8999634,0.012601632
2007-01-21 16:00:00,635.25,639.7,631.7,633.2,0.0,0.0,-1.5999756,-0.0025204404
2007-01-22 16:00:00,632.9,647.7,632.9,645.6,0.0,0.0,12.399963,0.019583011
2007-01-23 16:00:00,645.6,648.9,638.5,647.79,0.0,0.0,2.1900024,0.0033921972
2007-01-24 16:00:00,647.6,654.7,644.9,645.7,0.0,0.0,-2.0899658,-0.0032263016
2007-01-25 16:00:00,645.6,648.1,640.6,645.8,0.0,0.0,0.099975586,0.00015483287
2007-01-28 16:00:00,645.8,648.0,640.7,643.0,0.0,0.0,-2.7999878,-0.004335689
2007-01-29 16:00:00,643.0,647.4,640.8,646.1,0.0,0.0,3.0999756,0.004821113
2007-01-30 16:00:00,646.1,654.9,641.9,652.7,0.0,0.0,6.6000366,0.010215194
2007-01-31 16:00:00,652.6,661.5,651.7,657.0,0.0,0.0,4.299988,0.0065880003
2007-02-01 16:00:00,656.7,659.8,642.8,647.5,0.0,0.0,-9.5,-0.014459665
2007-02-04 16:00:00,647.5,652.1,645.9,648.1,0.0,0.0,0.5999756,0.0009266032
2007-02-05 16:00:00,648.0,658.5,647.9,653.3,0.0,0.0,5.200012,0.0080234725
2007-02-06 16:00:00,653.2,656.6,649.9,651.6,0.0,0.0,-1.7000122,-0.0026021923
2007-02-07 16:00:00,651.7,661.1,647.6,659.6,0.0,0.0,8.0,0.012277471
2007-02-08 16:00:00,659.2,668.8,656.8,666.5,0.0,0.0,6.9000244,0.0104609225
2007-02-11 16:00:00,667.6,668.2,659.6,660.7,0.0,0.0,-5.799988,-0.008702157
2007-02-12 16:00:00,661.2,669.3,660.5,664.0,0.0,0.0,3.2999878,0.004994684
2007-02-13 16:00:00,664.3,671.85,663.4,668.5,0.0,0.0,4.5,0.0067771086
2007-02-14 16:00:00,668.5,670.6,662.2,669.3,0.0,0.0,0.7999878,0.0011966908
2007-02-15 16:00:00,669.5,669.55,662.55,669.0,0.0,0.0,-0.2999878,-0.00044821127
2007-02-18 16:00:00,669.0,673.2,667.5,670.3,0.0,0.0,1.2999878,0.0019431806
2007-02-19 16:00:00,670.7,671.9,655.4,657.5,0.0,0.0,-12.799988,-0.019095909
2007-02-20 16:00:00,657.4,682.5,656.9,678.6,0.0,0.0,21.099976,0.03209122
2007-02-21 16:00:00,678.5,681.0,675.1,677.1,0.0,0.0,-1.5,-0.0022104334
2007-02-22 16:00:00,677.3,688.3,672.7,683.0,0.0,0.0,5.9000244,0.008713668
2007-02-25 16:00:00,681.3,689.7,681.3,686.0,0.0,0.0,3.0,0.0043923864
2007-02-26 16:00:00,686.1,688.7,659.0,663.4,0.0,0.0,-22.599976,-0.03294457
2007-02-27 16:00:00,663.7,677.4,661.1,669.3,0.0,0.0,5.8999634,0.008893523
2007-02-28 16:00:00,669.5,677.3,661.2,663.9,0.0,0.0,-5.3999634,-0.008068076
2007-03-01 16:00:00,663.8,665.5,639.2,642.4,0.0,0.0,-21.5,-0.032384396
2007-03-04 16:00:00,643.3,644.9,633.2,636.2,0.0,0.0,-6.200012,-0.009651327
2007-03-05 16:00:00,636.1,647.6,632.3,646.6,0.0,0.0,10.399963,0.016347002
2007-03-06 16:00:00,646.5,651.5,642.6,649.2,0.0,0.0,2.6000366,0.00402109
2007-03-07 16:00:00,649.1,655.7,647.1,651.7,0.0,0.0,2.5,0.0038508934
2007-03-08 16:00:00,652.0,658.0,648.5,651.29,0.0,0.0,-0.41003418,-0.00062917627
2007-03-11 16:00:00,649.5,653.9,645.4,650.6,0.0,0.0,-0.69000244,-0.0010594396
2007-03-12 16:00:00,650.5,652.4,641.7,643.0,0.0,0.0,-7.5999756,-0.011681488
2007-03-13 16:00:00,642.8,645.8,636.4,643.6,0.0,0.0,0.5999756,0.000933088
2007-03-14 16:00:00,643.8,650.1,643.0,646.1,0.0,0.0,2.5,0.0038844005
2007-03-15 16:00:00,646.2,655.6,645.7,652.9,0.0,0.0,6.800049,0.010524763
2007-03-18 16:00:00,654.3,656.25,651.79,653.6,0.0,0.0,0.6999512,0.0010720649
2007-03-19 16:00:00,653.7,661.1,652.4,657.8,0.0,0.0,4.200012,0.0064259674
2007-03-20 16:00:00,658.0,664.6,656.7,663.7,0.0,0.0,5.9000244,0.008969329
2007-03-21 16:00:00,664.3,666.7,661.8,663.3,0.0,0.0,-0.4000244,-0.00060271873
2007-03-22 16:00:00,663.4,664.9,654.9,656.9,0.0,0.0,-6.3999634,-0.009648671
2007-03-25 16:00:00,656.9,665.1,656.8,663.5,0.0,0.0,6.5999756,0.010047154
2007-03-26 16:00:00,663.6,665.6,661.3,664.5,0.0,0.0,1.0,0.001507159
2007-03-27 16:00:00,664.4,669.5,663.3,665.8,0.0,0.0,1.2999878,0.0019563397
2007-03-28 16:00:00,666.2,666.2,654.8,661.5,0.0,0.0,-4.299988,-0.006458378
2007-03-29 16:00:00,661.3,667.9,660.4,663.3,0.0,0.0,1.7999878,0.00272107
